Entity Name,Entity ID,Fiscal Year,1 year_Dollar-Weighted Rate of Return,3 year_Dollar-Weighted Rate of Return,5 year_Dollar-Weighted Rate of Return,1 year_Time-Weighted Rate of Return,3 year_Time-Weighted Rate of Return,5 year_Time-Weighted Rate of Return,"Annual Money-Weight Rate of Return, Net of Investment Expense %"
Stanislaus County Employees' Retirement Association,7276,2022,,,,-6.4,5.9,6.2,-6.4
Sunline Transit Retirement Income Plan - Bargaining Unit Personnel,7182,2022,11.95,16.15,9.4,,,,11.95
Sunline Transit Retirement Income Plan - Non-Bargaining Unit Personnel,7400,2022,11.96,16.16,9.5,,,,11.96
Tulare County Employees' Retirement Association,7277,2022,,,,-5.9,5.4,5.9,-5.79
Turlock Irrigation District Pension Plan,7187,2022,,,,14.8,15.1,12.95,-13.25
University of California Retirement Plan,7211,2022,-10.6,5.8,6.2,-10.8,5.7,6.2,-10.6
Ventura County Employees' Retirement Association,7278,2022,,,,-6,7.9,7.9,5.43
West Contra Costa Healthcare District Successor Retirement Plan,8275,2022,0.2,0.7,2.8,,,,0.2
AC Transit Employees' Retirement Plan,7159,2021,12.6,-5.07,8.37,12.72,-5.1,8.4,12.6
Alameda County Employees' Retirement Association,7258,2021,,,,12.48,8.56,10.44,11.7
Antelope Valley Hospital Medical Center Retirement Plan,7148,2021,26.54,11.99,10.78,,,,26.54
California State Teachers' Retirement System,7209,2021,27.19,6.64,13.42,27.19,12.17,11.78,27.19
City of Alameda Police and Fire Pension 1079 and 1082,7218,2021,-0.65,-0.65,,,,,-0.65
City of Albany Police and Fire Relief Pension Fund,7219,2021,23.93,,,,,,23.93
City of Berkeley Safety Members' Pension Fund,7220,2021,0,0,0,0,0,0,0
City of Concord Retirement System,7230,2021,17.77,,,,,,17.77
City of Delano Employee Pension Plan,7235,2021,,,,29.88,11.04,10.59,29.88
City of El Cerrito Employees' Pension Trust Fund,7225,2021,1,,,,,,1
City of Emeryville Pension Plan,7221,2021,0.52,1.57,1.37,,,,0.52
City of Eureka Fire and Police Retirement System,7233,2021,0.52,1.59,1.37,,,,0.52
City of Fresno Employees' Retirement System,7232,2021,,,,30.83,11.96,11.88,30.43
City of Fresno Fire and Police Retirement System,7231,2021,,,,30.83,11.96,11.88,30.43
City of Irvine Safety Defined Benefit Pension Plan,7243,2021,10.89,7.2,7.32,,,,11.6
City of Los Angeles Fire and Police Pension System,7236,2021,32.56,13.2,12.55,,,,32.56
